tag	category	total	roms	images
1991-10-01	Date	1	0	1
1991-11-02	Date	1	0	1
1991-11-15	Date	1	0	1
1991-11-20	Date	1	0	1
1991-12-19	Date	1	1	0
1992-04-03	Date	1	0	1
1992-05-08	Date	1	0	1
1992-05-26	Date	1	0	1
1992-05-29	Date	1	0	1
1992-06-22	Date	1	0	1
1992-07-02	Date	1	0	1
1992-08-11	Date	1	0	1
1992-08-21	Date	1	1	0
1992-08-24	Date	1	1	0
1992-08-28	Date	1	0	1
1992-09-02	Date	1	0	1
1992-09-16	Date	1	0	1
1992-09-29	Date	1	0	1
1992-10-06	Date	1	0	1
1992-10-13	Date	1	0	1
1992-10-28	Date	1	0	1
1992-11-05	Date	1	0	1
1992-11-10	Date	1	0	1
1992-11-26	Date	1	0	1
1992-12-04	Date	1	0	1
1992-12-11	Date	1	0	1
1992-12-15	Date	1	0	1
1993-01-10	Date	1	0	1
1993-01-19	Date	1	0	1
1993-02-15	Date	1	0	1
1993-03-03	Date	1	0	1
1993-03-19	Date	1	0	1
1993-04-01	Date	1	0	1
1993-04-11	Date	1	0	1
1993-04-12	Date	1	0	1
1993-04-21	Date	1	0	1
1993-04-22	Date	1	0	1
1993-05-07	Date	1	0	1
1993-05-11	Date	1	0	1
1993-05-13	Date	1	0	1
1993-05-19	Date	1	0	1
1993-06-16	Date	1	1	0
1993-06-21	Date	1	0	1
1993-06-22	Date	1	0	1
1993-06-30	Date	1	1	0
1993-07-09	Date	1	1	0
1993-07-12	Date	1	0	1
1993-07-20	Date	1	0	1
1993-07-22	Date	1	0	1
1993-08-01	Date	1	0	1
1993-08-02	Date	1	0	1
1993-08-06	Date	1	0	1
1993-08-18	Date	1	0	1
1993-08-19	Date	1	0	1
1993-08-23	Date	1	0	1
1993-09-13	Date	1	0	1
1993-09-24	Date	1	1	0
1993-09-27	Date	1	0	1
1993-10-01	Date	1	0	1
1993-10-04	Date	1	0	1
1993-10-06	Date	1	0	1
1993-10-11	Date	1	0	1
1993-10-12	Date	1	0	1
1993-10-13	Date	1	0	1
1993-10-19	Date	1	1	0
1993-10-21	Date	1	0	1
1993-10-26	Date	1	0	1
1993-11-10	Date	1	0	1
1993-11-12	Date	1	0	1
1993-11-23	Date	1	0	1
1993-12-03	Date	1	0	1
1993-12-09	Date	1	0	1
1993-12-17	Date	1	0	1
1993-12-24	Date	1	0	1
1994-01-18	Date	1	0	1
1994-02-04	Date	1	0	1
1994-02-22	Date	1	0	1
1994-03-07	Date	1	0	1
1994-03-21	Date	1	0	1
1994-04-08	Date	1	0	1
1994-04-14	Date	1	0	1
1994-05-24	Date	1	0	1
1994-06-14	Date	1	0	1
1994-06-21	Date	1	0	1
1994-07-04	Date	1	0	1
1994-07-13	Date	1	0	1
1994-07-22	Date	1	0	1
1994-07-27	Date	1	0	1
1994-08-02	Date	1	0	1
1994-08-08	Date	1	0	1
1994-08-09	Date	1	0	1
1994-08-25	Date	1	0	1
1994-09-04	Date	1	0	1
1994-09-05	Date	1	0	1
1994-09-06	Date	1	0	1
1994-09-14	Date	1	0	1
1994-09-15	Date	1	0	1
1994-09-23	Date	1	0	1
1994-09-26	Date	1	0	1
1994-10-06	Date	1	0	1
1994-10-12	Date	1	0	1
1994-10-14	Date	1	0	1
1994-10-28	Date	1	0	1
1994-11-14	Date	1	0	1
1994-11-23	Date	1	0	1
1994-12-08	Date	1	0	1
1994-12-21	Date	1	0	1
1995-01-13	Date	1	0	1
1995-01-16	Date	1	0	1
1995-02-14	Date	1	0	1
1995-02-22	Date	1	0	1
1995-02-23	Date	1	0	1
1995-03-20	Date	1	0	1
1995-03-22	Date	1	0	1
1995-03-23	Date	1	0	1
1995-03-28	Date	1	0	1
1995-05-11	Date	1	0	1
1995-05-15	Date	1	0	1
1995-06-01	Date	1	0	1
1995-06-08	Date	1	0	1
1995-06-09	Date	1	0	1
1995-06-11	Date	1	0	1
1995-07-05	Date	1	0	1
1995-08-01	Date	1	0	1
1995-08-11	Date	1	0	1
1995-08-21	Date	1	0	1
1995-08-24	Date	1	0	1
1995-08-30	Date	1	0	1
1995-09-02	Date	1	0	1
1995-09-06	Date	1	0	1
1995-09-11	Date	1	0	1
1995-09-12	Date	1	0	1
1995-09-22	Date	1	0	1
1995-09-25	Date	1	0	1
1995-09-29	Date	1	0	1
1995-10-05	Date	1	0	1
1995-10-17	Date	1	0	1
1995-10-18	Date	1	0	1
1995-10-19	Date	1	0	1
1995-10-20	Date	1	0	1
1995-10-21	Date	1	0	1
1995-10-24	Date	1	0	1
1995-10-26	Date	1	0	1
1995-11-07	Date	1	0	1
1995-11-18	Date	1	0	1
1995-11-23	Date	1	0	1
1995-12-15	Date	1	0	1
1995-12-21	Date	1	0	1
1995-12-22	Date	1	0	1
1996-01-11	Date	1	0	1
1996-01-31	Date	1	0	1
1996-02-14	Date	1	0	1
1996-02-16	Date	1	0	1
1996-02-19	Date	1	0	1
1996-03-05	Date	1	0	1
1996-03-25	Date	1	0	1
1996-04-09	Date	1	0	1
1996-04-16	Date	1	0	1
1996-05-13	Date	1	0	1
1996-05-14	Date	1	0	1
1996-05-22	Date	1	0	1
1996-05-28	Date	1	0	1
1996-05-29	Date	1	0	1
1996-05-31	Date	1	0	1
1996-06-08	Date	1	0	1
1996-07-05	Date	1	0	1
1996-07-12	Date	1	0	1
1996-07-15	Date	1	0	1
1996-07-22	Date	1	0	1
1996-07-23	Date	1	0	1
1996-08-08	Date	1	0	1
1996-08-30	Date	1	0	1
1996-09-06	Date	1	0	1
1996-09-18	Date	1	0	1
1996-09-25	Date	1	0	1
1996-09-30	Date	1	0	1
1996-10-11	Date	1	0	1
1996-10-15	Date	1	0	1
1996-10-29	Date	1	0	1
1996-11-02	Date	1	0	1
1996-11-06	Date	1	0	1
1996-11-21	Date	1	0	1
1996-11-30	Date	1	0	1
1996-12-10	Date	1	0	1
1996-12-24	Date	1	0	1
1997-01-11	Date	1	0	1
1997-01-26	Date	1	0	1
1997-01-30	Date	1	0	1
1997-02-05	Date	1	0	1
1997-02-16	Date	1	0	1
1997-04-01	Date	1	0	1
1997-04-07	Date	1	0	1
1997-04-29	Date	1	0	1
1997-05-19	Date	1	0	1
1997-05-26	Date	1	0	1
1997-06-19	Date	1	0	1
1997-07-11	Date	1	0	1
1997-08-01	Date	1	0	1
1997-08-07	Date	1	0	1
1997-08-11	Date	1	0	1
1997-08-12	Date	1	0	1
1997-08-15	Date	1	0	1
1997-08-20	Date	1	0	1
1997-08-25	Date	1	0	1
1997-09-02	Date	1	0	1
1997-09-07	Date	1	0	1
1997-09-12	Date	1	0	1
1997-09-16	Date	1	0	1
1997-09-17	Date	1	0	1
1997-09-18	Date	1	0	1
1997-09-29	Date	1	0	1
1997-09-30	Date	1	0	1
1997-10-01	Date	1	0	1
1997-10-07	Date	1	0	1
1997-11-01	Date	1	0	1
1997-11-17	Date	1	0	1
1997-11-26	Date	1	0	1
1997-12-01	Date	1	0	1
1997-12-12	Date	1	0	1
1997-12-15	Date	1	0	1
1998-01-09	Date	1	0	1
1998-01-23	Date	1	0	1
1998-01-29	Date	1	0	1
1998-02-03	Date	1	0	1
1998-02-05	Date	1	0	1
1998-02-24	Date	1	0	1
1998-03-02	Date	1	0	1
1998-03-30	Date	1	0	1
1998-03-31	Date	1	0	1
1998-04-03	Date	1	0	1
1998-04-09	Date	1	0	1
1998-04-21	Date	1	0	1
1998-04-22	Date	1	0	1
1998-04-23	Date	1	0	1
1998-05-05	Date	1	0	1
1998-05-11	Date	1	0	1
1998-05-25	Date	1	0	1
1998-05-27	Date	1	0	1
1998-06-06	Date	1	0	1
1998-06-11	Date	1	0	1
1998-06-19	Date	1	0	1
1998-06-23	Date	1	0	1
1998-06-28	Date	1	0	1
1998-06-29	Date	1	0	1
1998-06-30	Date	1	0	1
1998-07-01	Date	1	0	1
1998-07-04	Date	1	0	1
1998-07-05T180056	NeedsReview	1	0	1
1998-07-05T215532	NeedsReview	1	0	1
1998-07-07	Date	1	0	1
1998-07-09	Date	1	0	1
1998-07-14	Date	1	0	1
1998-07-14T022124	NeedsReview	1	0	1
1998-07-14T181500	NeedsReview	1	0	1
1998-07-17	Date	1	0	1
1998-07-19	Date	1	0	1
1998-07-24	Date	1	0	1
1998-07-28	Date	1	0	1
1998-08-05	Date	1	0	1
1998-08-10	Date	1	0	1
1998-08-19	Date	1	0	1
1998-08-25	Date	1	0	1
1998-08-26	Date	1	0	1
1998-09-03	Date	1	0	1
1998-09-04	Date	1	0	1
1998-09-06	Date	1	0	1
1998-09-16	Date	1	0	1
1998-09-25	Date	1	0	1
1998-09-30	Date	1	0	1
1998-10-01	Date	1	0	1
1998-10-03	Date	1	0	1
1998-10-08	Date	1	0	1
1998-10-19	Date	1	0	1
1998-11-02	Date	1	0	1
1998-11-09	Date	1	0	1
1998-11-16	Date	1	0	1
1998-12-15	Date	1	0	1
1998-12-18	Date	1	0	1
1999-02-10	Date	1	0	1
1999-02-15	Date	1	0	1
1999-02-16	Date	1	0	1
1999-02-17	Date	1	0	1
1999-02-18	Date	1	0	1
1999-03-01	Date	1	0	1
1999-03-09	Date	1	0	1
1999-03-24	Date	1	0	1
1999-04-02	Date	1	0	1
1999-04-14	Date	1	0	1
1999-05-05	Date	1	0	1
1999-05-10	Date	1	0	1
1999-05-25	Date	1	0	1
1999-06-15	Date	1	0	1
1999-08-02	Date	1	0	1
1999-08-03	Date	1	0	1
1999-08-04	Date	1	0	1
1999-08-05	Date	1	0	1
1999-08-14	Date	1	0	1
1999-08-17	Date	1	0	1
1999-08-20	Date	1	0	1
1999-08-25	Date	1	0	1
1999-08-30	Date	1	0	1
1999-08-31	Date	1	0	1
1999-09-03	Date	1	0	1
1999-09-07	Date	1	0	1
1999-09-09	Date	1	0	1
1999-09-13	Date	1	0	1
1999-09-18	Date	1	0	1
1999-09-21	Date	1	0	1
1999-09-23	Date	1	0	1
1999-09-29	Date	1	0	1
1999-10-12	Date	1	0	1
1999-10-20	Date	1	0	1
1999-10-22	Date	1	0	1
1999-10-28	Date	1	0	1
1999-10-29	Date	1	0	1
1999-11-09	Date	1	0	1
1999-11-11	Date	1	0	1
1999-11-17	Date	1	0	1
1999-11-18	Date	1	0	1
1999-11-27	Date	1	0	1
1999-12-17	Date	1	0	1
1999-12-22	Date	1	0	1
1B-004, EB-004, Sachen	NeedsReview	1	0	1
1JAM-Loop	NeedsReview	1	1	0
1M, 2M, 3M	NeedsReview	1	0	1
1M, 2M, 4M	NeedsReview	1	0	1
1M, 2MB2	NeedsReview	1	0	1
1M, 3M, 4M	NeedsReview	1	0	1
1M, 5M	NeedsReview	1	0	1
2 EPROMs	NeedsReview	1	0	1
2 Types	NeedsReview	1	0	1
2000-01-06	Date	1	0	1
2000-01-08	Date	1	0	1
2000-01-10	Date	1	0	1
2000-01-11	Date	1	0	1
2000-01-14	Date	1	0	1
2000-01-15	Date	1	0	1
2000-01-21	Date	1	0	1
2000-01-27	Date	1	0	1
2000-02-04	Date	1	0	1
2000-02-07	Date	1	0	1
2000-02-10	Date	1	0	1
2000-02-14	Date	1	0	1
2000-02-16	Date	1	0	1
2000-02-22	Date	1	0	1
2000-03-01	Date	1	0	1
2000-03-07	Date	1	0	1
2000-03-24	Date	1	0	1
2000-03-27	Date	1	0	1
2000-04-02	Date	1	0	1
2000-04-05	Date	1	0	1
2000-04-13	Date	1	0	1
2000-04-26	Date	1	0	1
2000-05-01	Date	1	0	1
2000-05-03	Date	1	0	1
2000-05-05	Date	1	0	1
2000-05-09	Date	1	0	1
2000-05-11	Date	1	0	1
2000-05-15	Date	1	0	1
2000-05-28	Date	1	0	1
2000-05-30	Date	1	0	1
2000-05-31	Date	1	0	1
2000-06-09	Date	1	0	1
2000-06-13	Date	1	0	1
2000-06-14	Date	1	0	1
2000-06-16	Date	1	0	1
2000-06-26	Date	1	0	1
2000-06-29	Date	1	0	1
2000-06-xx	NeedsReview	1	0	1
2000-07-16	Date	1	0	1
2000-07-16T211412	NeedsReview	1	0	1
2000-07-16T220245	NeedsReview	1	0	1
2000-07-19	Date	1	0	1
2000-07-21	Date	1	0	1
2000-07-24	Date	1	0	1
2000-07-31	Date	1	0	1
2000-08-01	Date	1	0	1
2000-08-07	Date	1	0	1
2000-08-10	Date	1	0	1
2000-08-17	Date	1	0	1
2000-08-21	Date	1	0	1
2000-08-xx	NeedsReview	1	0	1
2000-09-04	Date	1	0	1
2000-09-05	Date	1	0	1
2000-09-09	Date	1	0	1
2000-09-11	Date	1	0	1
2000-09-26	Date	1	0	1
2000-10-10	Date	1	0	1
2000-10-16	Date	1	0	1
2000-10-25	Date	1	0	1
2000-10-26	Date	1	0	1
2000-11-03	Date	1	0	1
2000-11-09	Date	1	0	1
2000-12-01	Date	1	0	1
2000-12-05	Date	1	0	1
2000-12-20	Date	1	0	1
2001-01-10	Date	1	0	1
2001-02-21	Date	1	0	1
2001-02-26	Date	1	0	1
2001-03-02	Date	1	0	1
2001-03-21	Date	1	0	1
2001-03-22	Date	1	0	1
2001-04-10	Date	1	0	1
2001-04-20	Date	1	0	1
2001-05-15	Date	1	0	1
2001-05-19	Date	1	0	1
2001-06-04	Date	1	0	1
2001-08-02	Date	1	0	1
2001-08-24	Date	1	0	1
2001-09-03	Date	1	0	1
2001-09-11	Date	1	0	1
2001-09-25	Date	1	0	1
2001-09-27	Date	1	0	1
2001-10-16	Date	1	0	1
2001-11-14	Date	1	0	1
2001-11-20	Date	1	0	1
2001-12-03	Date	1	0	1
2001-12-09	Date	1	0	1
2002-01-20	Date	1	0	1
2002-02-07	Date	1	0	1
2002-04-09	Date	1	0	1
2002-04-27	Date	1	0	1
2002-08-01	Date	1	0	1
2002-08-07	Date	1	0	1
2002-11-11	Date	1	0	1
2002-12-12	Date	1	0	1
2003-02-11	Date	1	0	1
2003-02-13	Date	1	0	1
2003-02-21	Date	1	0	1
2003-04-02	Date	1	0	1
2003-07-29	Date	1	0	1
2004-02-15	Date	1	1	0
2004SR01259	NeedsReview	1	1	0
2004SR05368	NeedsReview	1	1	0
2005-01-09	Date	1	1	0
2006-08-15	Date	1	0	1
2006SR04301	NeedsReview	1	1	0
2006SR04303	NeedsReview	1	1	0
2006SR04307	NeedsReview	1	1	0
2006SR04308	NeedsReview	1	1	0
2007, November	NeedsReview	1	1	0
2007-01-23	Date	1	0	1
2009-06-26	Date	1	1	0
2009-11-12	Date	1	1	0
2009-12-16	Date	1	1	0
2010-05-29	Date	1	1	0
2011	NeedsReview	1	1	0
2011-06-07	Date	1	1	0
2011-07-23	Date	1	1	0
2011-09-24	Date	1	1	0
2011-09-30	Date	1	1	0
2011-10-06	Date	1	1	0
2011-10-31	Date	1	1	0
2011-11-24	Date	1	1	0
2011-12-16	Date	1	1	0
2012-01-03	Date	1	1	0
2012-02-08	Date	1	1	0
2012-03-17	Date	1	1	0
2012-03-21	Date	1	1	0
2012-04-03	Date	1	1	0
2012-04-25	Date	1	1	0
2012-09-06	Date	1	1	0
2012-10-26	Date	1	1	0
2013-03-04	Date	1	1	0
2013-07-31	Date	1	1	0
2013-10-17	Date	1	1	0
2014	NeedsReview	1	1	0
2014-01-08	Date	1	1	0
2014-02-04	Date	1	1	0
2014-04-01	Date	1	1	0
2014-04-02	Date	1	1	0
2014-04-17	Date	1	1	0
2014-05-25	Date	1	1	0
2014-06-17	Date	1	1	0
2014-10-28	Date	1	1	0
2014-11-25	Date	1	1	0
2014-12-19	Date	1	1	0
2014-12-20	Date	1	1	0
2015-01-17	Date	1	1	0
2015-02-14	Date	1	1	0
2015-04-16	Date	1	1	0
2015-04-22	Date	1	1	0
2015-05-10	Date	1	1	0
2015-06-15	Date	1	1	0
2016-05-04	Date	1	1	0
2016-06-01	Date	1	1	0
2016-07-31	Date	1	1	0
2016-11-24	Date	1	1	0
2016-12-08	Date	1	1	0
2017-01-02	Date	1	1	0
2017-01-31	Date	1	1	0
2017-02-03	Date	1	1	0
2017-02-17	Date	1	1	0
2017-03-04	Date	1	1	0
2017-03-15	Date	1	1	0
2017-04-24	Date	1	1	0
2017-04-27	Date	1	1	0
2017-05-17	Date	1	1	0
2017-06-29	Date	1	1	0
2017-07-01	Date	1	1	0
2017-07-06	Date	1	1	0
2017-07-11	Date	1	1	0
2017-09-17	Date	1	1	0
2017-12-03	Date	1	1	0
2018-05-01	Date	1	1	0
2018-06-16	Date	1	1	0
2018-08-14	Date	1	1	0
2018-09-17	Date	1	1	0
2018-10-25	Date	1	1	0
2018-11-01	Date	1	1	0
2018-11-05	Date	1	1	0
2018-11-08	Date	1	1	0
2018-11-21	Date	1	1	0
2019-03-01	Date	1	1	0
2019-03-10	Date	1	1	0
2019-07-19	Date	1	1	0
2019-10-22	Date	1	1	0
2019-xx-xx	NeedsReview	1	1	0
2020	NeedsReview	1	1	0
2020-02-23	Date	1	1	0
2020-09-08	Date	1	1	0
2020-09-19	Date	1	1	0
2020-09-20	Date	1	1	0
2020-12-01	Date	1	1	0
2020-12-21	Date	1	1	0
2020bb	NeedsReview	1	1	0
2020bba	NeedsReview	1	1	0
2020bbh	NeedsReview	1	1	0
2021	NeedsReview	1	1	0
2021 Jam Version	NeedsReview	1	0	1
2021-02-19	Date	1	1	0
2021-03-10	Date	1	1	0
2021-05-05	Date	1	1	0
2021-05-25	Date	1	1	0
2021-07-08	Date	1	1	0
2021-08-21	Date	1	1	0
2021-09-13	Date	1	1	0
2021-10-28	Date	1	1	0
2021-10-31	Date	1	1	0
2022-04-22	Date	1	1	0
2022-04-23	Date	1	1	0
2022-05-09	Date	1	1	0
2022-06-05	Date	1	1	0
2022-06-06	Date	1	1	0
2022-06-26	Date	1	1	0
2022-06-30	Date	1	1	0
2022-08-07	Date	1	1	0
2022-08-26	Date	1	1	0
2022-08-27	Date	1	1	0
2022-09-16	Date	1	1	0
2022-09-17	Date	1	1	0
2022-09-19	Date	1	1	0
2022-09-21	Date	1	1	0
2022-09-29	Date	1	1	0
2022-10-09	Date	1	1	0
2022-10-26	Date	1	1	0
2022-10-28	Date	1	1	0
2022-11-03	Date	1	1	0
2022-12-18	Date	1	1	0
2022-12-25	Date	1	1	0
2022-12-26	Date	1	1	0
2023-01-07	Date	1	1	0
2023-01-11	Date	1	1	0
2023-01-13	Date	1	1	0
2023-01-16	Date	1	1	0
2023-02-11	Date	1	1	0
2023-02-18	Date	1	1	0
2023-03-12	Date	1	1	0
2023-03-13	Date	1	1	0
2023-03-18	Date	1	1	0
2023-03-23	Date	1	1	0
2023-03-24	Date	1	1	0
2023-03-31	Date	1	1	0
2023-04-03	Date	1	1	0
2023-04-04	Date	1	1	0
2023-04-12	Date	1	1	0
2023-04-23	Date	1	1	0
2023-04-25	Date	1	1	0
2023-04-30	Date	1	1	0
2023-05-04	Date	1	1	0
2023-05-23	Date	1	1	0
2023-06-03	Date	1	1	0
2023-06-05	Date	1	1	0
2023-06-23	Date	1	1	0
2023-07-09	Date	1	1	0
2023-07-10	Date	1	1	0
2023-08-09	Date	1	1	0
2023-09-03	Date	1	1	0
2023-09-05	Date	1	1	0
2023-09-07	Date	1	1	0
2023-09-08	Date	1	1	0
2023-09-28	Date	1	1	0
2023-09-30	Date	1	1	0
2023-10-12	Date	1	1	0
2023-10-19	Date	1	1	0
2023-10-23	Date	1	1	0
2023-10-24	Date	1	1	0
2023-10-26	Date	1	1	0
2023-11-17	Date	1	1	0
2023-11-18	Date	1	1	0
22M	NeedsReview	1	0	1
23M	NeedsReview	1	0	1
245-in-1 Real Game	NeedsReview	1	1	0
256KiB	NeedsReview	1	0	1
2A, 2B	NeedsReview	1	0	1
2M, 4M	NeedsReview	1	0	1
2M, 5M	NeedsReview	1	0	1
2M1, 2MB1	NeedsReview	1	0	1
2M2	NeedsReview	1	0	1
2MB3	NeedsReview	1	0	1
2nd Print Edition	NeedsReview	1	1	0
30C	NeedsReview	1	0	1
31B, 34C	NeedsReview	1	0	1
31B-001, Sachen	NeedsReview	1	0	1
320×240 Video Output Patch by Fluvian - JP	HackOrPatchCredit	1	1	0
32B, 37A, 37M	NeedsReview	1	0	1
32M	NeedsReview	1	0	1
32X CD	NeedsReview	1	0	1
35B, 35C	NeedsReview	1	0	1
36B, 36C	NeedsReview	1	0	1
39B	NeedsReview	1	0	1
3A, 3B	NeedsReview	1	0	1
3A, 3C	NeedsReview	1	0	1
3DO Magazine - Issue 10	NeedsReview	1	0	1
3DO Training Educational System	NeedsReview	1	0	1
3M, 4M, 5M, 6M	NeedsReview	1	0	1
3R	NeedsReview	1	0	1
3countb	NeedsReview	1	1	0
4 Player Co-Op Patch by Gallaux - EU	HackOrPatchCredit	1	1	0
4 Player Patch by Gallaux - NA	HackOrPatchCredit	1	1	0
40M	NeedsReview	1	0	1
41M	NeedsReview	1	0	1
42M	NeedsReview	1	0	1
4A, 4B	NeedsReview	1	0	1
4B-001, 4B-009, 8B-001, Sachen	NeedsReview	1	0	1
4B-002, 4B-004, 8B-002, Sachen	NeedsReview	1	0	1
4B-005, 4B-006, 8B-003, Sachen	NeedsReview	1	0	1
4B-007, 4B-008, 8B-004, Sachen	NeedsReview	1	0	1
4M, 5M	NeedsReview	1	0	1
5-in-1	NeedsReview	1	0	1
5-in-1 - NA	NeedsReview	1	1	0
512KiB	NeedsReview	1	0	1
5A	NeedsReview	1	0	1
5R, 6R	NeedsReview	1	0	1
60 Hz	NeedsReview	1	0	1
64'er	NeedsReview	1	1	0
7M	NeedsReview	1	0	1
7M, 10M	NeedsReview	1	0	1
7M, 9M, 10M	NeedsReview	1	0	1
8 People	NeedsReview	1	1	0
879cbea	NeedsReview	1	1	0
8M, 13M	NeedsReview	1	0	1
8M, 9M	NeedsReview	1	0	1
8S, 12S	NeedsReview	1	0	1
8S, 9S, 17S	NeedsReview	1	0	1
8d96be2	NeedsReview	1	1	0
9 Fighter	NeedsReview	1	1	0
960100577	NeedsReview	1	1	0
960268	NeedsReview	1	1	0
960270	NeedsReview	1	1	0
960415	NeedsReview	1	1	0
960418	NeedsReview	1	1	0
970100587	NeedsReview	1	1	0
970100684	NeedsReview	1	1	0
970158	NeedsReview	1	1	0
970266	NeedsReview	1	1	0
970487	NeedsReview	1	1	0
970489	NeedsReview	1	1	0
970493	NeedsReview	1	1	0
980100026	NeedsReview	1	1	0
980100029	NeedsReview	1	1	0
980100295	NeedsReview	1	1	0
980100461	NeedsReview	1	1	0
980185	NeedsReview	1	1	0
980334	NeedsReview	1	1	0
980337	NeedsReview	1	1	0
980340	NeedsReview	1	1	0
980342	NeedsReview	1	1	0
980584	NeedsReview	1	1	0
980816	NeedsReview	1	1	0
990031	NeedsReview	1	1	0
A-N2	NeedsReview	1	1	0
A8FE	NeedsReview	1	0	1
A8FP	NeedsReview	1	0	1
AA1201	NeedsReview	1	1	0
AES Ori	NeedsReview	1	1	0
AFMJ	NeedsReview	1	0	1
AI - EU	NeedsReview	1	1	0
ALT	Revision	1	1	0
AS300	NeedsReview	1	1	0
ASN 0097	NeedsReview	1	1	0
AZTP	NeedsReview	1	0	1
AZTX	NeedsReview	1	0	1
Accolade	NeedsReview	1	0	1
Action 53	NeedsReview	1	1	0
Add-on	NeedsReview	1	0	1
Addition	NeedsReview	1	0	1
Additions by Eskayelle, Rev 1.28.1.1 With the Mattrizzle Player Engine - 2K22 Version	NeedsReview	1	1	0
Adventure Kid, Power Block, Twin Mouse, and Cave Dude - AU	NeedsReview	1	1	0
Adventurer and Code Cracker - EU	NeedsReview	1	1	0
Akai - Ichimonji - Yae	NeedsReview	1	0	1
Aladdin Compact Cartridge, Plug-Thru	NeedsReview	1	0	1
All Characters Unlocked and Easier Difficulty Patch, Rev 2, by BillyTime! Games - NA	HackOrPatchCredit	1	1	0
All Extras and Megatron X Unlocked Patch by Astolfo2001 - JP	HackOrPatchCredit	1	1	0
All Unlocks Patch by Gallaux - NA, Rev 2	HackOrPatchCredit	1	1	0
Alligata	NeedsReview	1	1	0
Alt A	NeedsReview	1	1	0
Alt B	NeedsReview	1	1	0
Alt C	NeedsReview	1	1	0
Android, Quiz, Logic, and R-Type - EU	NeedsReview	1	1	0
Andy Noble - 2017	NeedsReview	1	1	0
Anirog	NeedsReview	1	1	0
Anirog Software	NeedsReview	1	1	0
Anniversary Pack	NeedsReview	1	0	1
Announcement Version	NeedsReview	1	1	0
Anthony Stiller - 2015	NeedsReview	1	1	0
Antonio Inoki Intai Kinen Genteiban	NeedsReview	1	0	1
Antonio Savona - 2020	NeedsReview	1	1	0
Append	NeedsReview	1	0	1
Arcade Audio	Platform	1	0	1
Arcade Colors and 9 Lives Patch, Rev 2, by SCD - JP	HackOrPatchCredit	1	1	0
Archery, Reversi, and Card Games - EU	NeedsReview	1	1	0
Argus Press Software	NeedsReview	1	1	0
Aris-Soft - 2021	NeedsReview	1	1	0
Artworx	NeedsReview	1	1	0
Astrovision	NeedsReview	1	0	1
Atari	NeedsReview	1	1	0
AtariAge	NeedsReview	1	0	1
Atarisoft	NeedsReview	1	0	1
Atarisoft - Unreleased	NeedsReview	1	1	0
Atoms, Retros, and Annoyance - EU	NeedsReview	1	1	0
Audio Fix Patch, Rev 20201702, by Riggles - NA	HackOrPatchCredit	1	1	0
Audio Remaster and Music Mashup Patch by Dark City Productions - JP	HackOrPatchCredit	1	1	0
Australia, Greece	Region	1	0	1
Autumn	NeedsReview	1	0	1
Avatar - 2013	NeedsReview	1	1	0
B-S2	NeedsReview	1	1	0
BA058	NeedsReview	1	1	0
BFWJ	NeedsReview	1	0	1
BG2	NeedsReview	1	1	0
BJ-56	NeedsReview	1	1	0
BJJP	NeedsReview	1	0	1
BJJX	NeedsReview	1	0	1
BPS the Choice	NeedsReview	1	0	1
BPTP	NeedsReview	1	0	1
BPTX	NeedsReview	1	0	1
BPV	NeedsReview	1	0	1
BR, Rev 1	Region+Revision	1	1	0
BUG Fixed	NeedsReview	1	0	1
Background Scrolling Patch by Diogo Ribeiro - NA	HackOrPatchCredit	1	1	0
Badgerpunch Games - 2020	NeedsReview	1	1	0
Bally	NeedsReview	1	0	1
Bandit Fruit Machine and Mazemaker - EU	NeedsReview	1	1	0
Bang! - EU	NeedsReview	1	1	0
Baton Controller Doukonban	NeedsReview	1	0	1
Battery Save Version	NeedsReview	1	1	0
Battle.net	NeedsReview	1	0	1
Bearmix, Cebi, M&Ms, Meteors, Cyber Mouse, Sitting Duck, and Spheres - EU	NeedsReview	1	1	0
Beeble - EU	NeedsReview	1	1	0
Behind Closed Doors - EU	NeedsReview	1	1	0
Behind Closed Doors - The Sequel - EU	NeedsReview	1	1	0
Behind Closed Doors III - EU	NeedsReview	1	1	0
Beta 31	Preview	1	0	1
Beta 32	Preview	1	0	1
Beyond Belief	NeedsReview	1	1	0
Beyond Reproach - 2009	NeedsReview	1	1	0
Big Gunz and Epicentre - EU	NeedsReview	1	1	0
Bingo, Shinkei Suijaku, and Cockroach - JP	NeedsReview	1	1	0
Bit Corporation	NeedsReview	1	0	1
Black & White	NeedsReview	1	1	0
Blast! and Miall - EU	NeedsReview	1	1	0
Blast-a-Mac and Dark Vortex - EU	NeedsReview	1	1	0
Blazing Guns	NeedsReview	1	0	1
Blockbuster Flash ROM	NeedsReview	1	0	1
Body Bits, Pacdemo, and Viking Raiders - EU	NeedsReview	1	1	0
Boggle, Megabert, Monopoly, and Pontoon Deluxe - EU	NeedsReview	1	1	0
Bomb!, Saucer Strike, Deflection, and Colourcode - EU	NeedsReview	1	1	0
Bombardment and Os and Xs - EU	NeedsReview	1	1	0
Bombed Out, Nuclear Waste, Magic Caves, and Blockade - EU	NeedsReview	1	1	0
Bomber - EU	NeedsReview	1	1	0
Bomberman Collection	NeedsReview	1	0	1
Bonus Disc Part 1	NeedsReview	1	0	1
Bonus Disc Part 2	NeedsReview	1	0	1
Bonus Disk	NeedsReview	1	0	1
