tag	category	total	roms	images
Track 06	NeedsReview	7	7	0
Track 07	NeedsReview	7	7	0
Track 08	NeedsReview	7	7	0
Track 09	NeedsReview	7	7	0
Track 10	NeedsReview	7	7	0
Track 11	NeedsReview	7	7	0
Translated En	TranslationCredit	7	0	7
Virtual Console, Classic Mini, Switch Online	Platform	7	0	7
by hellboy73	NeedsReview	7	7	0
v2.73	Revision	7	7	0
v3.1c	Revision	7	7	0
v5.0	Revision	7	4	3
All Unlocked	NeedsReview	6	0	6
Allies	NeedsReview	6	0	6
Arlasoft - 2021	NeedsReview	6	6	0
Artdink Best Choice	NeedsReview	6	0	6
Beta 22	Preview	6	0	6
Beta 23	Preview	6	0	6
Bulletproof	NeedsReview	6	3	3
Byte-Off 2022	NeedsReview	6	6	0
Capcom Classics Mini Mix	NeedsReview	6	3	3
Collection of SaGa	NeedsReview	6	0	6
DG	NeedsReview	6	6	0
Disk 4	Disc	6	6	0
EU, Rev 1	Region+Revision	6	6	0
Earlier	NeedsReview	6	2	4
En,De,Es	Language	6	1	5
En,Fr,De,It,Nl	Language	6	0	6
En,Ja,Es	Language	6	2	4
En,Ja,Fr	Language	6	0	6
En,Pl	Language	6	6	0
English Translated by AfroJackX, Rev 0.3	TranslationCredit	6	6	0
English Translated by BlackPaladin	TranslationCredit	6	6	0
FS005	NeedsReview	6	6	0
Fingers	NeedsReview	6	0	6
Fr,De,Es,It	Language	6	0	6
Fr,Es,It	Language	6	0	6
Hengge	NeedsReview	6	6	0
JK	NeedsReview	6	6	0
Jaleco	NeedsReview	6	3	3
Jeffrey Wittenhagen's	NeedsReview	6	6	0
Jncota	NeedsReview	6	5	1
Lock-on Combination	NeedsReview	6	0	6
MB-91	NeedsReview	6	4	2
Made in Japan	NeedsReview	6	0	6
Mastertronic	NeedsReview	6	6	0
Mega Man X Legacy Collection	NeedsReview	6	0	6
Metal Gear Solid Collection	NeedsReview	6	3	3
NESDev Compo 2019	NeedsReview	6	6	0
Ninja JaJaMaru Retro Collection	NeedsReview	6	0	6
Not for Resale	NeedsReview	6	1	5
Omake Disc	NeedsReview	6	0	6
Preview	NeedsReview	6	0	6
Rev C	Revision	6	2	4
