tag	total	roms	images
English Translated by Gemini and Tom, Rev 1a	1	1	0
English Translated by Gertius	1	1	0
English Translated by Gertius, Rev 1.2	1	1	0
English Translated by Gideon Zhi and Matatabi	1	1	0
English Translated by Gil Galad	1	1	0
English Translated by Grundo1561, Rev 1.2	1	1	0
English Translated by Gungriffon II Localization Team, Rev 0.97.5	1	1	0
English Translated by Hemulen	1	1	0
English Translated by Hilltop, Cargodin, Blametherobots, Gwendolyn, and SnowyAria, Rev 1.1	1	1	0
English Translated by Infinite Lupine Translations With Addendum by R4dius, Rev 1.01b	1	1	0
English Translated by Infinite Lupine Translations With Addendum by R4dius, Rev 1.01b and Text Improvement Patch by VincentNL	1	1	0
English Translated by Infinite Lupine Translations, Rev 1.01	1	1	0
English Translated by Jink640	1	1	0
English Translated by John Osborne, Rev 1.1	1	1	0
English Translated by KBLO, Rev 20251010	1	1	0
English Translated by Kitchen34, Rev 1.1	1	1	0
English Translated by Kitchen34, Rev 1.10	1	1	0
English Translated by Knight0fDragon, Rev 1.021 With Hotfix	1	1	0
English Translated by KoolFiller, Rev 2025-06-14	1	1	0
English Translated by Lady Jessica, Rev 0.8	1	1	0
English Translated by LaytonLoztew	1	1	0
English Translated by Malenko	1	1	0
English Translated by Malenko, Rev 1.02 Final	1	1	0
English Translated by Malenko, Rev 1.2 Final	1	1	0
English Translated by Malenko, Rev 2024.02.04-01	1	1	0
English Translated by Matizhill	1	1	0
English Translated by Meduza Team, Rev 1.04a	1	1	0
English Translated by Mentil	1	1	0
English Translated by Mr.Nobody, Arcanearia, and NintendoComplete, Rev 1.1	1	1	0
English Translated by NLeseul, Rev 0.9b	1	1	0
English Translated by Nanashi, Rev 0.9	1	1	0
English Translated by Necrosaro	1	1	0
English Translated by Nick, Paul, and Akimaru	1	1	0
English Translated by Nikita600, Rev 05FEB2023	1	1	0
English Translated by Onionzoo and Cabbage	1	1	0
English Translated by Paul_Met, Aishsha, and Pennywise, Rev 1.3	1	1	0
English Translated by Paul_met	1	1	0
English Translated by Paul_met and Stardust Crusaders, Rev 1.5	1	1	0
English Translated by Paul_met, Aishsha, Pennywise, Ryusui, TheMajinZenki, and CCCmar	1	1	0
English Translated by Pennywise	1	1	0
English Translated by PentarouZero	1	1	0
English Translated by PentarouZero, Rev 1d	1	1	0
English Translated by Phantasian Productions, Rev Pre-1.1 ToP Test Fix With Addendum by FlamePurge and Mziab, Rev 1.1b	1	1	0
English Translated by Plissken	1	1	0
English Translated by Plissken, Rev 1.02	1	1	0
English Translated by Pokeytax, Rev 1.1	1	1	0
