tag	total	roms	images
Android, Quiz, Logic, and R-Type - EU	1	1	0
Andy Noble - 2017	1	1	0
Anirog	1	1	0
Anirog Software	1	1	0
Anniversary Pack	1	0	1
Announcement Version	1	1	0
Anthony Stiller - 2015	1	1	0
Antonio Inoki Intai Kinen Genteiban	1	0	1
Antonio Savona - 2020	1	1	0
Append	1	0	1
Archery, Reversi, and Card Games - EU	1	1	0
Argus Press Software	1	1	0
Aris-Soft - 2021	1	1	0
Artworx	1	1	0
Astrovision	1	0	1
Atari	1	1	0
AtariAge	1	0	1
Atarisoft	1	0	1
Atarisoft - Unreleased	1	1	0
Atoms, Retros, and Annoyance - EU	1	1	0
Autumn	1	0	1
Avatar - 2013	1	1	0
B-S2	1	1	0
BA058	1	1	0
BFWJ	1	0	1
BG2	1	1	0
BJ-56	1	1	0
BJJP	1	0	1
BJJX	1	0	1
BPS the Choice	1	0	1
BPTP	1	0	1
BPTX	1	0	1
BPV	1	0	1
BUG Fixed	1	0	1
Badgerpunch Games - 2020	1	1	0
Bally	1	0	1
Bandit Fruit Machine and Mazemaker - EU	1	1	0
Bang! - EU	1	1	0
Baton Controller Doukonban	1	0	1
Battery Save Version	1	1	0
Battle.net	1	0	1
Bearmix, Cebi, M&Ms, Meteors, Cyber Mouse, Sitting Duck, and Spheres - EU	1	1	0
Beeble - EU	1	1	0
Behind Closed Doors - EU	1	1	0
Behind Closed Doors - The Sequel - EU	1	1	0
Behind Closed Doors III - EU	1	1	0
Beyond Belief	1	1	0
Beyond Reproach - 2009	1	1	0
Big Gunz and Epicentre - EU	1	1	0
Bingo, Shinkei Suijaku, and Cockroach - JP	1	1	0
Bit Corporation	1	0	1
Black & White	1	1	0
Blast! and Miall - EU	1	1	0
Blast-a-Mac and Dark Vortex - EU	1	1	0
Blazing Guns	1	0	1
Blockbuster Flash ROM	1	0	1
Body Bits, Pacdemo, and Viking Raiders - EU	1	1	0
Boggle, Megabert, Monopoly, and Pontoon Deluxe - EU	1	1	0
Bomb!, Saucer Strike, Deflection, and Colourcode - EU	1	1	0
Bombardment and Os and Xs - EU	1	1	0
Bombed Out, Nuclear Waste, Magic Caves, and Blockade - EU	1	1	0
Bomber - EU	1	1	0
Bomberman Collection	1	0	1
Bonus Disc Part 1	1	0	1
Bonus Disc Part 2	1	0	1
Bonus Disk	1	0	1
Bonus PlayStation Disc	1	0	1
Boony - 2023	1	1	0
Boot Disk	1	1	0
Booze Design - 2021	1	1	0
Boxset	1	0	1
Brave Charge Box	1	0	1
Bright Version	1	0	1
Broke Studio	1	0	1
Bub, Turbo Worm, Invaders, Chemistry Test, Dan's Diamonds, and Asteroids - EU	1	1	0
Build 03854	1	1	0
Build 03945	1	1	0
Build 141	1	1	0
Build 143	1	1	0
Build 157	1	1	0
Build 158	1	1	0
Build 167	1	1	0
Build 186	1	1	0
Build 190	1	1	0
Build 194	1	1	0
Build 208	1	1	0
Build 209	1	1	0
Build 211	1	1	0
Build 221	1	1	0
Build 231	1	1	0
Build 235	1	1	0
Build 239	1	1	0
Build 243	1	1	0
Build 249	1	1	0
Build 252	1	1	0
Build 4	1	1	0
Build 47	1	1	0
Build 486	1	1	0
Build 487	1	1	0
Build 5	1	1	0
Build 53	1	1	0
Build 65	1	1	0
Build 9b	1	1	0
Butsubutsu Koukan no Maki	1	0	1
Byte-Off III	1	1	0
C-D2	1	1	0
C-D3	1	1	0
C64CD - 2018	1	1	0
C64Mark - 2020	1	1	0
CAFe DEMOPARTY 2019	1	1	0
CCS	1	1	0
CD Gioco	1	0	1
CD Help e Backstage	1	0	1
CES 1993	1	0	1
CK-008	1	1	0
CM	1	0	1
CNROM	1	1	0
COMPUTE!'s Gazette	1	1	0
CSAW CTF 2015	1	1	0
CTC-15	1	1	0
CTC-31	1	1	0
Calpis Water Version	1	0	1
Car-Relative Steering	1	0	1
Carleton Handley - 2021	1	1	0
Carrion - 2022	1	1	0
Casino Game	1	0	1
Castle, Escape from the Planet of the Robot Monsters, and Cosmo-Cruiser - Mission One - EU	1	1	0
Castle, Konext, and Bully Embassy - EU	1	1	0
Cat-1 and Gunner - EU	1	1	0
Ceilings and Editor	1	1	0
Champion Boxing and Safari Race - KR	1	1	0
Channel 8 Software	1	1	0
Character Disk	1	1	0
Character Tkool	1	0	1
Chuugakusei Jidai	1	0	1
Cloud 99, Agatha's Folly, and The Jade Stone - EU	1	1	0
Club Nintendo	1	0	1
Clue Crossword - EU	1	1	0
Coca-Cola Kenshouhin	1	0	1
Codemasters - Fast Food, Pro Skateboard, Pro Tennis	1	1	0
Colin's Time Trousers, Crossword, Faller, Line Game, and Tile Game - EU	1	1	0
Colossus Chess, International Football & Silicon Syborgs	1	1	0
Colour	1	1	0
Colour Clash - EU	1	1	0
Columbia Version	1	1	0
Commodore Plus - 2023	1	1	0
Competition Cart, 10k points	1	0	1
Competition Cart, 1m points	1	0	1
Contra '93	1	1	0
Cosine Systems - 2001	1	1	0
Cosine Systems - 2003	1	1	0
Cosine Systems - 2006	1	1	0
Cosine Systems - 2007	1	1	0
Cosine Systems - 2009	1	1	0
Cosine Systems - 2011	1	1	0
Cosine Systems - 2012	1	1	0
Cosine Systems - 2014	1	1	0
Cosine Systems - 2020	1	1	0
Cosmos Cruiser, Castle, and Humphrey - EU	1	1	0
Covert Bitops - 2002	1	1	0
Creative Sparks	1	1	0
Crossword Bonanza, Rock 'n' Roll, and King-Albert - EU	1	1	0
Crossword Edition 1 - EU	1	1	0
Crossword Edition 2 - EU	1	1	0
Crossword and Tray Game - EU	1	1	0
CyberTennis, Mr. Slidey, and Infection - EU	1	1	0
Cyclone's Best	1	0	1
Cymbal Software	1	1	0
D	1	0	1
D-N3	1	1	0
D-T2	1	1	0
